CountryOfCitizenship,EstWorthPrev,FinalWorth,Gender,Industries,PersonName,Rank,Source
United States,232511.145379,232461.091,M,Automotive,Elon Musk,1,"Tesla, SpaceX"
France,184725.762549,187741.706,M,Fashion & Retail,Bernard Arnault & family,2,LVMH
United States,165397.48696,164773.487,M,Technology,Jeff Bezos,3,Amazon
United States,137910.878073,141502.343,M,Technology,Larry Ellison,4,Oracle
United States,115666.650442,115967.818,M,Finance & Investments,Warren Buffett,5,Berkshire Hathaway
United States,113921.205505,114356.785,M,Technology,Bill Gates,6,Microsoft
United States,113027.6074,113361.755,M,Technology,Mark Zuckerberg,7,Facebook
United States,110503.080297,111177.189,M,Technology,Larry Page,8,Google
United States,108477.63902,109112.389,M,Technology,Steve Ballmer,9,Microsoft
United States,106128.038933,106761.847,M,Technology,Sergey Brin,10,Google
United States,96308.0,96308.0,M,Finance & Investments,Michael Bloomberg,11,Bloomberg LP
Mexico,90280.754838,89555.46,M,Telecom,Carlos Slim Helu & family,13,Telecom
India,90243.931682,89704.053,M,Diversified,Mukesh Ambani,12,Diversified
France,86743.126669,88280.912,F,Fashion & Retail,Francoise Bettencourt Meyers & family,14,L'Oréal
Spain,85434.611314,86954.898,M,Fashion & Retail,Amancio Ortega,15,Zara
United States,68786.010714,68354.382,M,Fashion & Retail,Jim Walton & family,17,Walmart
United States,68660.333717,68952.845,M,Technology,Michael Dell,16,Dell Technologies
United States,67997.857642,67574.631,M,Fashion & Retail,Rob Walton & family,18,Walmart
United States,67060.346395,66632.357,F,Fashion & Retail,Alice Walton,19,Walmart
China,61828.312999,62426.334,M,Food & Beverage,Zhong Shanshan,20,"Beverages, pharmaceuticals"
United States,56740.907,56740.907,F,Diversified,Julia Koch & family,21,Koch Industries 
Canada,55702.757785,55999.249,M,Media & Entertainment,David Thomson & family,22,Media
India,51594.887034,51743.899,M,Diversified,Gautam Adani,23,"Infrastructure, commodities"
United States,51440.907,51440.907,M,Diversified,Charles Koch & family,24,Koch Industries
China,43400.0,43400.0,M,Technology,Zhang Yiming,25,TikTok
Germany,43176.141682,43176.142,M,Fashion & Retail,Dieter Schwarz,26,Retail
United States,43104.8748,43114.019,M,Fashion & Retail,Phil Knight & family,27,Nike
United States,41035.138426,41573.643,M,Technology,Jensen Huang,28,Semiconductors
Italy,38865.913384,38865.913,M,Food & Beverage,Giovanni Ferrero,29,"Nutella, chocolates"
China,38545.92532,38644.607,M,Technology,Colin Huang,30,E-commerce
United States,38268.172848,38100.646,F,Technology,MacKenzie Scott,31,Amazon
Hong Kong,36149.732231,35931.575,M,Diversified,Li Ka-shing,34,Diversified
United States,36142.84,36142.84,M,Food & Beverage,John Mars,32,"Candy, pet food"
United States,36142.84,36142.84,F,Food & Beverage,Jacqueline Mars,32,"Candy, pet food"
Austria,35237.299925,35237.3,M,Food & Beverage,Mark Mateschitz,37,Red Bull
China,35227.082,35314.112,M,Technology,William Ding,36,Online games
United States,34523.887,34523.887,M,Finance & Investments,Ken Griffin,38,Hedge funds
Japan,34506.620518,35853.715,M,Fashion & Retail,Tadashi Yanai & family,35,Fashion retail
China,34060.699564,33880.258,M,Technology,Ma Huateng,39,Online games
United States,32544.3802,32470.746,F,Gambling & Casinos,Miriam Adelson & family,40,Casinos
France,32458.260589,32458.261,M,Fashion & Retail,Gerard Wertheimer,41,Chanel
France,32458.260589,32458.261,M,Fashion & Retail,Alain Wertheimer,41,Chanel
United States,31338.37071,31390.213,M,Finance & Investments,Stephen Schwarzman,43,Investments
France,30706.162123,31032.462,M,Fashion & Retail,François Pinault & family,44,Luxury goods
United States,30700.0,30700.0,M,Finance & Investments,Jim Simons,45,Hedge funds
United States,29777.684481,29833.015,M,Diversified,Len Blavatnik,46,"Music, chemicals"
India,29201.855259,29044.394,M,Technology,Shiv Nadar,47,software services
United States,28925.0,28925.0,M,Finance & Investments,Jeff Yass,48,"Trading, investments"
Mexico,28589.038091,28338.939,M,Metals & Mining,Germán Larrea Mota Velasco & family,49,Mining
Germany,27643.598378,27933.666,M,Logistics,Klaus-Michael Kuehne,50,Shipping
Hong Kong,27307.663775,27337.213,M,Automotive,Robin Zeng,51,Batteries
Hong Kong,26709.703804,26551.92,M,Real Estate,Lee Shau Kee,53,Real estate
Germany,26625.816861,26625.817,M,Manufacturing,Reinhold Wuerth & family,52,Fasteners
United States,26231.29032,25876.375,M,Finance & Investments,Thomas Peterffy,55,Discount brokerage
Australia,26161.498891,26161.499,F,Metals & Mining,Gina Rinehart,54,Mining
Switzerland,25740.588633,25755.17,M,Logistics,Gianluigi Aponte,56,Shipping
Switzerland,25740.588633,25755.17,F,Logistics,Rafaela Aponte-Diamant,56,Shipping
China,25650.344724,25592.68,M,Technology,Jack Ma,58,E-commerce
India,25472.413209,25344.986,F,Metals & Mining,Savitri Jindal & family,59,Steel
Indonesia,25403.349743,25241.671,M,Energy,Low Tuck Kwong,60,Coal
United States,25238.8,25238.8,M,Energy,Harold Hamm & family,61,Oil & gas
Russia,25202.93185,25202.932,M,Metals & Mining,Andrey Melnichenko & family,62,"Fertilizers, coal"
Russia,24811.210381,24811.21,M,Metals & Mining,Vladimir Lisin,63,"Steel, transport"
Indonesia,24733.880876,24792.487,M,Finance & Investments,R. Budi Hartono,64,"Banking, tobacco"
United States,24371.602887,24371.603,F,Finance & Investments,Abigail Johnson,65,Fidelity
United States,24261.207036,24091.206,M,Fashion & Retail,Lukas Walton,66,Walmart 
Russia,24050.592561,24050.593,M,Energy,Leonid Mikhelson & family,67,"Gas, chemicals"
Russia,23678.676889,23678.677,M,Energy,Vagit Alekperov,69,Oil
Indonesia,23669.445745,23725.753,M,Manufacturing,Michael Hartono,68,"Banking, tobacco "
Germany,23303.414938,23459.194,M,Automotive,Stefan Quandt,70,BMW
Japan,23248.739103,22879.444,M,Finance & Investments,Masayoshi Son,71,"telecom, investments"
France,22766.654338,22766.654,M,Food & Beverage,Emmanuel Besnier,72,Cheese
Germany,22421.147954,22557.398,F,Automotive,Susanne Klatten,73,"BMW, pharmaceuticals"
Russia,22257.268967,22257.269,M,Metals & Mining,Vladimir Potanin,74,Metals
China,21510.128567,21295.745,M,Manufacturing,He Xiangjian & family,75,Home appliances
India,21049.229703,21174.56,M,Healthcare,Cyrus Poonawalla,76,Vaccines
Russia,20912.405785,20914.201,M,Metals & Mining,Alexey Mordashov & family,77,"Steel, investments"
Russia,20807.094381,20807.094,M,Energy,Gennady Timchenko,78,"Oil, gas"
United States,20595.0,20595.0,M,Finance & Investments,David Tepper,79,Hedge funds
Chile,20354.681753,20322.85,F,Metals & Mining,Iris Fontbona & family,81,Mining
Australia,20276.809177,20341.662,M,Metals & Mining,Andrew Forrest,80,Mining
United States,19817.142541,19817.44,M,Finance & Investments,Steve Cohen,84,Hedge funds
United States,19780.03601,19671.786,M,Healthcare,Thomas Frist Jr & family,85,Hospitals
United States,19575.48474,19575.468,M,Fashion & Retail,John Menard Jr,86,Home improvement stores
United States,19449.232516,19819.064,M,Finance & Investments,Daniel Gilbert,83,Quicken Loans
United States,19422.54795,19521.763,M,Technology,Eric Schmidt,87,Google
India,19341.917793,19476.65,M,Healthcare,Dilip Shanghvi,88,Pharmaceuticals
United Kingdom,19205.008014,19205.008,M,Manufacturing,James Ratcliffe,89,Chemicals
Israel,18944.470626,18957.906,M,Diversified,Eyal Ofer,90,"Real estate, shipping"
Japan,18831.41196,18719.748,M,Manufacturing,Takemitsu Takizaki,92,Sensors
United States,18759.12,18759.12,F,Construction & Engineering,Diane Hendricks,91,Building supplies
United States,18012.128172,18012.128,M,Real Estate,Donald Bren,93,Real estate
Indonesia,17943.423693,20197.464,M,Diversified,Prajogo Pangestu,82,Petrochemicals
Brazil,17879.38472,17930.741,M,Technology,Eduardo Saverin,94,Facebook
China,17812.493437,17693.412,M,Automotive,Wang Chuanfu,97,"Batteries, automobiles"
India,17779.604495,17830.664,M,Diversified,Kumar Birla,95,Commodities
Brazil,17760.380209,17760.38,F,Finance & Investments,Vicky Safra & family,96,Banking
United States,17525.06935,17482.379,M,Media & Entertainment,Rupert Murdoch & family,98,"Newspapers, TV network"
Sweden,17399.696653,17223.451,M,Fashion & Retail,Stefan Persson,99,H&M
Germany,16955.45,16955.45,M,Fashion & Retail,Theo Albrecht Jr & family,100,"Aldi, Trader Joe's"
Czech Republic,16361.912304,16362.205,F,Finance & Investments,Renata Kellnerova & family,102,"Finance, telecommunications"
Germany,16229.408348,16229.408,M,Fashion & Retail,Karl Albrecht Jr. & family,103,Supermarkets
Germany,16229.408348,16229.408,F,Fashion & Retail,Beate Heister,103,Supermarkets
India,16218.175743,16559.45,M,Fashion & Retail,Radhakishan Damani,101,"Retail, investments"
United States,16007.9215,15217.273,M,Technology,Rick Cohen & family,111,Warehouse automation
United Kingdom,16000.0,16000.0,M,Finance & Investments,Michael Platt,105,Hedge funds
United States,15707.5,15707.5,M,Sports,Stanley Kroenke,106,"Sports, real estate"
Australia,15479.402055,15479.402,M,Real Estate,Harry Triguboff,108,Real estate
Brazil,15442.037343,15651.666,M,Food & Beverage,Jorge Paulo Lemann & family,107,Beer
United States,15359.28,15359.28,M,Finance & Investments,Ray Dalio,109,Hedge funds
India,15241.254748,15054.614,M,Metals & Mining,Lakshmi Mittal,112,Steel
United States,15236.423731,15240.862,M,Technology,Jan Koum,110,WhatsApp
United States,14860.088881,14860.089,M,Finance & Investments,Philip Anschutz,113,"Energy, sports, entertainment"
United States,14761.313862,14761.314,M,Energy,Autry Stephens,114,Oil
China,14695.475582,14662.498,M,Food & Beverage,Qin Yinglin,115,Pig breeding
Russia,14516.781814,14553.552,M,Metals & Mining,Alisher Usmanov,116,"Steel, telecom, investments"
Singapore,14466.222787,14532.472,M,Healthcare,Li Xiting,117,medical devices
China,14426.001647,14463.044,M,Service,Wang Wei,118,Package delivery
China,14423.493048,14207.686,M,Automotive,Eric Li,121,Automobiles
United States,14382.078,14298.22,M,Sports,Jerry Jones,119,Dallas Cowboys
China,14301.796274,14217.339,M,Automotive,Lu Xiangyang,120,"Automobiles, batteries"
Israel,14022.162394,14014.699,M,Diversified,Idan Ofer,122,Shipping
China,13910.252483,13570.028,M,Automotive,Wei Jianjun & family,129,Automobiles
United States,13773.939625,13771.312,M,Energy,George Kaiser,125,"Oil & gas, banking"
Cyprus,13759.757726,13718.475,M,Logistics,John Fredriksen,126,Shipping
United States,13635.309,13635.309,M,Fashion & Retail,David Green & family,128,Retail
Cyprus,13576.675164,13802.077,M,Diversified,Vinod Adani,124,"Infrastructure, commodities"
United States,13517.493204,13517.493,M,Finance & Investments,Andrew Beal,130,"Banks, real estate"
India,13516.390337,13715.797,M,Real Estate,Kushal Pal Singh,127,Real estate
Netherlands,13433.006821,13468.979,F,Food & Beverage,Charlene de Carvalho-Heineken & family,131,Heineken
India,13281.737616,13277.412,M,Finance & Investments,Uday Kotak,132,Banking
China,13258.965315,13806.599,M,Technology,Lei Jun,123,Smartphones
United States,13156.2546,13203.87,F,Technology,Laurene Powell Jobs & family,133,"Apple, Disney"
China,13147.389315,13157.257,M,Healthcare,Jiang Rensheng & family,134,Vaccines
Hong Kong,13053.134807,13054.964,M,Real Estate,Joseph Lau,135,Real estate
Mexico,12852.811192,12880.109,M,Fashion & Retail,Ricardo Salinas Pliego & family,136,"Retail, media"
United States,12851.465252,12849.084,M,Technology,Dustin Moskovitz,137,Facebook
United States,12835.216,12835.216,M,Energy,Jeffery Hildebrand,138,Oil
Russia,12788.908532,12777.507,M,Energy,Mikhail Fridman,140,"Oil, banking, telecom"
Hong Kong,12784.332342,12825.164,M,Real Estate,Peter Woo,139,Real estate
United States,12648.87533,12726.623,M,Fashion & Retail,Leonard Lauder,141,Estee Lauder
Thailand,12633.827719,12244.417,M,Diversified,Dhanin Chearavanont,146,Diversified
China,12579.952785,12593.386,M,Automotive,Huang Shilin,142,Batteries
China,12555.58685,12419.811,M,Metals & Mining,Dang Yanbao,144,Coal
Hong Kong,12520.702539,12316.275,M,Gambling & Casinos,Lui Che Woo,145,Casinos/hotels
United States,12368.026797,12419.895,M,Technology,David Duffield,143,Business software
India,12060.496921,12073.764,M,Food & Beverage,Ravi Jaipuria,147,"Soft drinks, fast food"
Germany,11915.951832,11784.303,M,Technology,Andreas von Bechtolsheim & family,149,Google
United States,11831.711541,11751.376,F,Fashion & Retail,Christy Walton,151,Walmart
United States,11783.78285,11814.573,M,Finance & Investments,Leon Black,148,Private equity
United States,11775.8,11775.8,M,Finance & Investments,Israel Englander,150,Hedge funds
Hong Kong,11740.278651,11638.482,F,Real Estate,Kwong Siu-hing,152,Real estate
Australia,11623.98954,11384.236,M,Technology,Mike Cannon-Brookes,159,Software
Canada,11602.50455,11607.133,M,Technology,David Cheriton,153,Google
United States,11552.226634,11338.285,M,Media & Entertainment,Donald Newhouse,161,Media
United States,11474.0,11474.0,M,Fashion & Retail,Michael Rubin,155,Online retail
United Arab Emirates,11465.0,11465.0,M,Technology,Pavel Durov,156,Messaging app
India,11428.01761,11415.967,M,Technology,Azim Premji,157,Software services
United States,11395.03993,11395.04,M,Automotive,Shahid Khan,158,Auto parts
Australia,11373.785827,11136.048,M,Technology,Scott Farquhar,164,Software
Italy,11341.130812,11359.252,M,Fashion & Retail,Giorgio Armani,160,Luxury goods
Singapore,11300.099042,11503.053,M,Manufacturing,Goh Cheng Liang,154,Paints
China,11200.0,11200.0,M,Fashion & Retail,Sky Xu,162,E-commerce
United States,11145.9,11145.9,M,Sports,Robert Kraft,163,"Manufacturing, New England Patriots"
United Kingdom,11101.955479,11101.955,M,Finance & Investments,Alexander Gerko,165,Trading
Russia,11048.830538,11048.831,M,Finance & Investments,Mikhail Prokhorov,166,Investments
Thailand,10972.55626,10720.711,M,Food & Beverage,Charoen Sirivadhanabhakdi,169,"Alcohol, real estate"
China,10950.224981,10807.448,M,Manufacturing,Li Shuirong & family,168,Petrochemicals
China,10944.739871,10893.532,M,Technology,Wang Xing,167,Food delivery
Russia,10684.875593,10684.876,M,Finance & Investments,Suleiman Kerimov & family,170,Gold
China,10616.520178,10559.045,M,Technology,Zhang Zhidong,173,Internet media
Hong Kong,10602.197736,10629.373,M,Finance & Investments,Gong Hongjia & family,171,Video surveillance 
United States,10558.424768,10573.592,M,Technology,John Doerr,172,Venture capital
Thailand,10509.209417,10509.209,M,Energy,Sarath Ratanavadi,177,energy
Russia,10499.784455,10499.784,M,Manufacturing,Viktor Rashnikov,178,Steel
Nigeria,10493.449992,10521.885,M,Manufacturing,Aliko Dangote,175,"Cement, sugar"
China,10426.516846,10260.111,M,Healthcare,Chen Bang,180,Hospitals
United States,10392.111786,10510.977,M,Technology,Henry Samueli,176,Semiconductors
Brazil,10350.329362,10457.947,M,Food & Beverage,Marcel Herrmann Telles,179,Beer
France,10296.04851,10546.365,M,Fashion & Retail,Nicolas Puech,174,Hermes
Malaysia,10270.75596,10178.052,M,Diversified,Robert Kuok,184,"Palm oil, shipping, property"
United States,10205.061724,10205.062,M,Finance & Investments,Edward Johnson IV,181,Fidelity
United States,10204.275,10204.275,F,Fashion & Retail,Judy Love & family,182,Gas stations
Canada,10198.0,10198.0,M,Finance & Investments,Changpeng Zhao,183,Cryptocurrency exchange
Australia,10175.085191,10175.085,M,Manufacturing,Anthony Pratt,185,Manufacturing
United States,10168.668,10168.668,M,Technology,John Tu,186,Computer hardware
United States,10141.152,10141.152,M,Technology,David Sun,187,Computer hardware
Germany,10126.90709,9981.0,M,Healthcare,Andreas Struengmann & family,190,Pharmaceuticals
Germany,10126.90709,9981.0,M,Healthcare,Thomas Struengmann & family,190,Pharmaceuticals
United States,10125.469486,10136.158,F,Technology,Melinda French Gates,188,Microsoft
United States,10082.895646,10082.896,M,Real Estate,Stephen Ross,189,Real estate
China,9986.921306,9977.128,M,Healthcare,Sun Piaoyang,192,Pharmaceuticals
Malaysia,9949.089021,9949.61,M,Diversified,Quek Leng Chan,193,"Banking, property"
United States,9884.941807,9857.883,M,Media & Entertainment,John Malone,195,Cable television
Russia,9846.669738,9846.67,M,Manufacturing,Viatcheslav Kantor,196,"Fertilizer, real estate"
China,9827.728209,9827.728,M,Service,Liu Yongxing,197,Diversified
France,9826.544,9826.544,M,Logistics,Jacques Saadé Jr,198,Shipping
France,9826.544,9826.544,M,Logistics,Rodolphe Saadé,198,Shipping
France,9826.544,9826.544,F,Logistics,Tanya Saadé Zeenny,198,Shipping
United States,9770.52353,9915.541,M,Technology,Jay Chaudhry,194,Security software
Germany,9692.274815,9692.275,M,Manufacturing,Friedhelm Loh,201,Manufacturing
United States,9659.22908,9665.155,M,Finance & Investments,George Roberts,202,Private equity
United States,9586.65,9586.65,M,Finance & Investments,Michael Kim,204,Private equity 
Germany,9509.471188,9565.133,M,Technology,Hasso Plattner & family,205,Software
United States,9501.002,9501.002,M,Food & Beverage,Bubba Cathy,207,Chick-fil-A
United States,9501.002,9501.002,M,Food & Beverage,Dan Cathy,207,Chick-fil-A
United States,9501.002,9501.002,F,Food & Beverage,Trudy Cathy White,207,Chick-fil-A
United States,9493.780625,9448.674,F,Fashion & Retail,Ann Walton Kroenke,213,Walmart
Canada,9481.451861,9467.688,M,Diversified,Jim Pattison,210,Diversified
United States,9475.907168,9547.207,M,Finance & Investments,Patrick Ryan,206,Insurance
France,9454.893045,9454.893,F,Energy,Carrie Perrodo & family,211,Oil 
Switzerland,9453.548693,9453.998,M,Healthcare,Ernesto Bertarelli,212,"Biotech, investments"
United Kingdom,9425.881195,9425.881,M,Manufacturing,James Dyson,214,Vacuums
United States,9417.3177,9353.391,F,Fashion & Retail,Nancy Walton Laurie,215,Walmart
China,9347.604432,9298.18,M,Finance & Investments,Yu Yong,218,Mining
United States,9317.153,9317.153,M,Fashion & Retail,Eric Smidt,217,Hardware stores
South Africa,9272.659602,9318.661,M,Fashion & Retail,Johann Rupert & family,216,Luxury goods
China,9264.381,9138.998,M,Automotive,Li Xiang,222,Electric vehicles 
United States,9216.0,9216.0,M,Finance & Investments,Robert F. Smith,219,Private equity
Czech Republic,9197.125761,9197.126,M,Energy,Daniel Kretinsky,220,"Energy, investments"
Canada,9190.634,9190.634,M,Food & Beverage,Anthony von Mandl,221,Alcoholic beverages
Taiwan,9116.149101,9619.922,M,Technology,Barry Lam,203,Electronics
Philippines,9115.658859,9120.913,M,Real Estate,Manuel Villar,224,Real estate
United States,9109.62824,9109.154,M,Food & Beverage,Tilman Fertitta,225,"Entertainment, Houston Rockets"
Hong Kong,9087.080851,9126.734,M,Healthcare,Xu Hang,223,Medical devices
United States,9077.0,9077.0,M,Finance & Investments,Tom Gores,226,Private equity
United States,9040.704,9040.704,F,Food & Beverage,Victoria Mars,227,"Candy, pet food"
United States,9040.704,9040.704,F,Food & Beverage,Valerie Mars,227,"Candy, pet food"
United States,9040.704,9040.704,F,Food & Beverage,Pamela Mars,227,"Candy, pet food"
United States,9040.704,9040.704,F,Food & Beverage,Marijke Mars,227,"Candy, pet food"
United States,9032.0,9032.0,M,Food & Beverage,Jude Reyes,231,Food distribution
United States,9032.0,9032.0,M,Food & Beverage,J. Christopher Reyes,231,Food distribution
Russia,9031.268848,9031.269,M,Energy,Leonid Fedun,233,Oil
Russia,9025.240468,9025.257,M,Diversified,Roman Abramovich & family,234,"Steel, investments"
Sweden,9006.446256,8980.711,F,Diversified,Antonia Ax:son Johnson & family,236,Diversified
United States,8976.0,8976.0,M,Finance & Investments,Ramzi Musallam,237,Private equity
United States,8942.994,8942.994,M,Food & Beverage,Harry Stine,239,Agriculture
South Korea,8912.784326,8970.131,M,Technology,Jay Y. Lee,238,Samsung
United States,8866.7204,8872.115,M,Finance & Investments,Henry Kravis,241,Private equity
Austria,8862.518411,8862.518,M,Diversified,Georg Stumpf,242,"Real estate, construction"
United States,8837.25464,8936.441,M,Technology,Henry Nicholas III,240,Semiconductors
France,8820.075487,9002.514,M,Finance & Investments,Vincent Bolloré & family,235,Investments
Sweden,8744.913652,8737.907,M,Finance & Investments,Melker Schorling & family,245,Investments
Germany,8702.852868,8702.853,M,Fashion & Retail,Michael Otto,249,"Retail, real estate"
United States,8690.0,8690.0,M,Finance & Investments,Orlando Bravo,250,Private equity
United States,8689.095,8689.095,M,Fashion & Retail,Jimmy Haslam,251,"Gas stations, retail"
United States,8686.581,8686.581,M,Technology,James Goodnight,252,Software
United States,8674.108301,8732.983,M,Finance & Investments,Antony Ressler,246,Finance
France,8673.239216,8718.573,M,Diversified,Thierry Dassault,247,Diversified
France,8673.239216,8718.573,M,Diversified,Laurent Dassault,247,Diversified
Germany,8632.003885,8593.653,M,Real Estate,Alexander Otto,255,Real estate
France,8630.891743,8676.226,F,Diversified,Marie-Hélène Habert-Dassault,253,Diversified
New Zealand,8615.151497,8786.653,M,Finance & Investments,Graeme Hart,243,Investments
United States,8583.59728,8524.694,M,Finance & Investments,Charles Schwab,257,Discount brokerage
United States,8549.659495,8549.659,M,Healthcare,Carl Cook,256,Medical devices
China,8534.337847,8738.366,M,Food & Beverage,Liu Hanyuan,244,Agribusiness
Germany,8472.313976,8604.63,M,Automotive,Georg Schaeffler,254,Auto parts
Switzerland,8454.170247,8369.955,M,Metals & Mining,Ivan Glasenberg,259,Mining
Brazil,8428.287855,8516.16,M,Food & Beverage,Carlos Alberto Sicupira & family,258,Beer
Colombia,8383.137516,8264.087,M,Finance & Investments,David Velez & family,268,Fintech
United States,8349.0,8349.0,M,Finance & Investments,David Shaw,261,Hedge funds
United States,8342.55992,8342.56,F,Finance & Investments,Elizabeth Johnson,262,Fidelity
Russia,8337.364179,8337.364,M,Manufacturing,Andrei Guriev & family,263,Fertilizers
United States,8334.0282,8362.387,M,Fashion & Retail,Bernard Marcus,260,Home Depot
United States,8299.06536,8079.47,M,Technology,Brian Chesky,278,Airbnb
South Africa,8298.045543,8289.629,M,Metals & Mining,Nicky Oppenheimer & family,264,Diamonds
Germany,8288.873896,8287.739,F,Finance & Investments,Francine von Finck & family,265,Investments
Russia,8276.496582,8269.156,M,Energy,German Khan,267,"Oil, banking, telecom"
United States,8273.375,8273.375,M,Technology,Jack Dangermond,266,Mapping software
United States,8260.816,8260.816,F,Food & Beverage,Pauline MacMillan Keinath,269,Cargill
United States,8212.0,8212.0,F,Food & Beverage,Elisabeth DeLuca & family,271,Subway
Hong Kong,8171.892525,8171.564,M,Real Estate,Francis Choi,272,Real estate
Sweden,8161.740044,8155.576,M,Food & Beverage,Finn Rausing,273,Packaging
Sweden,8154.542312,8148.378,F,Food & Beverage,Kirsten Rausing,274,Packaging
Sweden,8154.542312,8148.378,M,Food & Beverage,Jorn Rausing,274,Packaging
United States,8139.0778,8139.078,M,Real Estate,Leonard Stern,276,Real estate
China,8113.364969,8231.463,M,Food & Beverage,Pang Kang,270,Soy sauce 
United States,8112.0,8112.0,M,Finance & Investments,Paul Tudor Jones II,277,Hedge funds
China,8092.64872,8022.14,F,Healthcare,Zhong Huijuan,283,Pharmaceuticals
United States,8059.124,8026.594,M,Media & Entertainment,David Geffen,281,"Movies, record labels"
United States,8054.300238,8044.237,M,Technology,Marc Benioff,279,Business software
China,8054.182407,7953.453,F,Metals & Mining,Zheng Shuliang & family,287,Aluminum products
Czech Republic,8037.79893,8037.799,M,Gambling & Casinos,Karel Komarek,280,"Oil and gas, IT, lotteries"
United States,8026.294,8026.294,M,Fashion & Retail,John Morris,282,Sporting goods retail
Belgium,8000.0,8000.0,M,Finance & Investments,Eric Wittouck,284,Investments
France,7957.127898,7957.128,M,Food & Beverage,Jean-Michel Besnier,285,Cheese
France,7957.127898,7957.128,F,Food & Beverage,Marie Besnier Beauvalot,285,Cheese
United States,7941.204471,7728.374,M,Technology,Nathan Blecharczyk,296,Airbnb
United States,7938.365995,7915.764,M,Healthcare,Li Ge,289,Pharmaceutical ingredients
China,7934.347826,7934.348,M,Food & Beverage,Xu Shihui,288,"Snacks, beverages"
Canada,7827.231439,7790.758,M,Technology,Joseph Tsai,290,E-commerce
Czech Republic,7768.231419,7766.896,M,Metals & Mining,Pavel Tykac,291,Coal mines
United States,7748.4,7748.4,M,Finance & Investments,Bruce Kovner,292,Hedge funds
United States,7742.647026,7742.647,M,Real Estate,Igor Olenicoff,293,Real estate
India,7742.0,7742.0,M,Healthcare,Hasmukh Chudgar & family,294,Pharmaceuticals
Russia,7730.666703,7730.667,M,Metals & Mining,Andrei Skoch & family,295,Metals and mining
Philippines,7694.625802,7648.902,M,Logistics,Enrique Razon Jr.,298,Ports
United States,7673.853332,7506.432,M,Technology,Joe Gebbia,306,Airbnb
Hong Kong,7656.008579,7489.191,M,Technology,Wang Laisheng,308,Electronics components
United States,7648.568,7648.568,M,Fashion & Retail,Charles Butt,299,Supermarkets
United States,7612.0,7612.0,M,Technology,David Steward,300,IT provider
China,7550.455224,7668.611,M,Manufacturing,Wang Liping & family,297,Hydraulic machinery
United States,7513.173422,7513.173,M,Real Estate,Jeff Greene,304,"Real estate, investments"
United States,7505.326,7505.326,M,Telecom,Rocco Commisso,307,Telecom
Spain,7494.003025,7610.129,F,Fashion & Retail,Sandra Ortega Mera,301,Zara 
India,7492.216968,7464.675,F,Diversified,Rohiqa Cyrus Mistry,310,Diversified
Ireland,7492.216968,7464.675,M,Diversified,Shapoor Mistry,310,Diversified
India,7477.031955,7552.532,M,Real Estate,Mangal Prabhat Lodha,302,Real estate
United States,7467.1965,7483.32,M,Finance & Investments,Josh Harris,309,Private equity
China,7459.86578,7507.675,M,Fashion & Retail,Ma Jianrong,305,"Textiles, apparel"
United States,7437.379,7451.984,M,Sports,Arthur Blank,313,Home Depot
United States,7436.28985,7382.302,M,Energy,Richard Kinder,315,Pipelines
United States,7379.249842,7307.934,F,Energy,Randa Duncan Williams,323,Pipelines
Hong Kong,7378.378867,7221.205,F,Technology,Wang Laichun,332,Electronics components
India,7364.086149,7317.649,M,Telecom,Sunil Mittal,322,Telecom
United States,7363.3,7363.3,M,Finance & Investments,Don Hankey,316,Auto loans
United States,7362.34494,7453.422,M,Fashion & Retail,Ralph Lauren,312,Apparel
United States,7348.406084,7277.352,F,Energy,Dannine Avara,326,Pipelines
China,7344.491048,7344.491,M,Fashion & Retail,Ding Shizhong,319,Sports apparel
United States,7335.788473,7264.734,F,Energy,Milane Frantz,328,Pipelines
United States,7335.788473,7264.734,M,Energy,Scott Duncan,328,Pipelines
India,7334.812288,7144.752,M,Manufacturing,Benu Gopal Bangur,340,Cement
United States,7328.35828,7347.676,M,Service,Micky Arison,318,Carnival Cruises
United States,7328.0,7328.0,M,Finance & Investments,Arthur Dantchik,321,"Trading, investments"
Brazil,7326.046315,7551.658,M,Finance & Investments,Andre Esteves,303,Banking
United States,7307.0,7307.0,M,Finance & Investments,David Siegel,324,Hedge funds
United States,7307.0,7307.0,M,Finance & Investments,John Overdeck,324,Hedge funds
China,7285.210081,7241.059,M,Manufacturing,Chen Jianhua,331,Chemicals
Canada,7277.544174,7339.744,M,Fashion & Retail,Alain Bouchard,320,Convinience stores
Mexico,7273.726811,7423.222,M,Diversified,Alejandro Bailleres Gual & family,314,Diversified
Norway,7269.147292,7269.147,M,Real Estate,Ivar Tollefsen,327,Real estate
United States,7245.376,7245.376,M,Food & Beverage,Robert Rich Jr,330,Frozen foods
Taiwan,7235.393034,7358.716,M,Fashion & Retail,Zhang Congyuan,317,Shoes
United States,7201.991914,7201.992,M,Energy,Ray Lee Hunt,334,"Oil, real estate"
Singapore,7166.308158,7165.945,M,Real Estate,Philip Ng,335,Real Estate
Switzerland,7164.3,7164.3,M,Finance & Investments,Guillaume Pousaz,336,Fintech
India,7142.212327,7221.076,F,Finance & Investments,Rekha Jhunjhunwala,333,Investments
Colombia,7142.011038,7147.799,M,Finance & Investments,Luis Carlos Sarmiento,338,Banking
United States,7104.441,7098.279,M,Service,Robert Rowling,341,"Hotels, investments"
