Rank,FinalWorth,PersonName,Source,Industries,CountryOfCitizenship,Gender,BirthDate,LastName,WealthList,EstWorthPrev,FamilyList
21,63280.525,Zhong Shanshan,"Beverages, pharmaceuticals",['Food & Beverage'],China,M,-476064000000.0,Zhong,False,62799.34289,False
22,62327.806,David Thomson & family,Media,['Media & Entertainment'],Canada,M,-396230400000.0,Thomson,False,62250.771384,False
23,61222.546,Jensen Huang,Semiconductors,['Technology'],United States,M,-216864000000.0,Huang,False,60407.394123,False
24,60221.693,Julia Koch & family,Koch Industries ,['Diversified'],United States,F,-243734400000.0,Koch,False,60221.693,False
25,54921.693,Charles Koch & family,Koch Industries,['Diversified'],United States,M,-1078272000000.0,Koch,False,54921.693,False
27,45222.374,Dieter Schwarz,Retail,['Fashion & Retail'],Germany,M,-955324800000.0,Schwarz,False,45222.374302,False
26,45429.0,Colin Huang,E-commerce,['Technology'],China,M,318297600000.0,Huang,False,44329.40008,False
28,43400.0,Zhang Yiming,TikTok,['Technology'],China,M,441763200000.0,Zhang,False,43400.0,False
30,39669.86,Prajogo Pangestu,"Petrochemicals, energy",['Diversified'],Indonesia,M,-809049600000.0,Pangestu,False,41175.464852,False
29,41318.718,Phil Knight & family,Nike,['Fashion & Retail'],United States,M,-1005177600000.0,Knight,False,41047.44105,False
31,39146.348,Jacqueline Mars,"Candy, pet food",['Food & Beverage'],United States,F,-953942400000.0,Mars,False,39146.348,False
31,39146.348,John Mars,"Candy, pet food",['Food & Beverage'],United States,M,-1079740800000.0,Mars,False,39146.348,False
33,39078.866,Giovanni Ferrero,"Nutella, chocolates",['Food & Beverage'],Italy,M,-166579200000.0,Ferrero,False,39078.865853,False
34,38415.888,Tadashi Yanai & family,Fashion retail,['Fashion & Retail'],Japan,M,-659491200000.0,Yanai,False,38485.858593,False
35,38368.455,Mark Mateschitz,Red Bull,['Food & Beverage'],Austria,M,705196800000.0,Mateschitz,False,38368.455092,False
36,37514.04,Stephen Schwarzman,Investments,['Finance & Investments'],United States,M,-722044800000.0,Schwarzman,False,37098.91164,False
37,36895.48,Ken Griffin,Hedge funds,['Finance & Investments'],United States,M,-38275200000.0,Griffin,False,36895.48,False
38,36430.874,Li Ka-shing,Diversified,['Diversified'],Hong Kong,M,-1311292800000.0,Li,False,36394.658237,False
41,36056.803,Shiv Nadar,software services,['Technology'],India,M,-771811200000.0,Nadar,False,36235.57671,False
39,36142.737,Gerard Wertheimer,Chanel,['Fashion & Retail'],France,M,-598924800000.0,Wertheimer,False,36142.737475,False
39,36142.737,Alain Wertheimer,Chanel,['Fashion & Retail'],France,M,-673574400000.0,Wertheimer,False,36142.737475,False
43,34400.244,MacKenzie Scott,Amazon,['Technology'],United States,F,8294400000.0,Scott,False,34283.78273,False
42,34662.454,Miriam Adelson & family,Casinos,['Gambling & Casinos'],United States,F,-764553600000.0,Adelson,False,34220.64748,False
44,33498.086,William Ding,Online games,['Technology'],China,M,55123200000.0,Ding,False,33934.6865,False
45,33323.722,Klaus-Michael Kuehne,Shipping,['Logistics'],Germany,M,-1028246400000.0,Kuehne,False,33915.838205,False
46,32005.24,Ma Huateng,Online games,['Technology'],China,M,57542400000.0,Ma,False,31923.440237,False
47,31829.615,Len Blavatnik,"Music, chemicals",['Diversified'],United States,M,-397180800000.0,Blavatnik,False,31920.812067,False
48,30700.0,Jim Simons,Hedge funds,['Finance & Investments'],United States,M,-999993600000.0,Simons,False,30700.0,False
49,30673.099,Gianluigi Aponte,Shipping,['Logistics'],Switzerland,M,-931392000000.0,Aponte,False,30669.201389,False
49,30673.099,Rafaela Aponte-Diamant,Shipping,['Logistics'],Switzerland,F,-781660800000.0,Aponte-Diamant,False,30669.201389,False
51,30222.741,Gina Rinehart,Mining,['Metals & Mining'],Australia,F,-501552000000.0,Rinehart,False,30222.740684,False
53,29595.743,François Pinault & family,Luxury goods,['Fashion & Retail'],France,M,-1052870400000.0,Pinault,False,29656.02022,False
52,29799.859,Savitri Jindal & family,Steel,['Metals & Mining'],India,F,-624412800000.0,Jindal,False,29530.882517,False
54,29491.054,Thomas Peterffy,Discount brokerage,['Finance & Investments'],United States,M,-796953600000.0,Peterffy,False,29346.35724,False
55,28999.992,Leonid Mikhelson & family,"Gas, chemicals",['Energy'],Russia,M,-454204800000.0,Mikhelson,False,28999.992202,False
57,28925.0,Jeff Yass,"Trading, investments",['Finance & Investments'],United States,M,-361670400000.0,Yass,False,28925.0,False
56,28954.274,Germán Larrea Mota Velasco & family,Mining,['Metals & Mining'],Mexico,M,-510710400000.0,Larrea Mota Velasco,False,28889.285415,False
58,28640.91,Abigail Johnson,Fidelity,['Finance & Investments'],United States,F,-253584000000.0,Johnson,False,28640.909887,False
59,27976.936,Reinhold Wuerth & family,Fasteners,['Manufacturing'],Germany,M,-1095120000000.0,Wuerth,False,27976.935969,False
60,27449.497,Low Tuck Kwong,Coal,['Energy'],Indonesia,M,-685065600000.0,Low Tuck,False,27447.871916,False
61,27088.775,Lee Shau Kee,Real estate,['Real Estate'],Hong Kong,M,-1323043200000.0,Lee,False,27088.775257,False
62,26536.176,Vagit Alekperov,Oil,['Energy'],Russia,M,-610156800000.0,Alekperov,False,26536.176192,False
66,25963.743,Vladimir Lisin,"Steel, transport",['Metals & Mining'],Russia,M,-430876800000.0,Lisin,False,25963.742901,False
64,26011.69,R. Budi Hartono,"Banking, tobacco",['Finance & Investments'],Indonesia,M,-915148800000.0,Hartono,False,25863.25535,False
65,25981.439,Vinod Adani,"Infrastructure, commodities",['Diversified'],Cyprus,M,-661910400000.0,Adani,False,25597.663017,False
67,25517.013,Cyrus Poonawalla,Vaccines,['Healthcare'],India,M,-903916800000.0,Poonawalla,False,25489.677692,False
68,25369.594,Emmanuel Besnier,Cheese,['Food & Beverage'],France,M,22464000000.0,Besnier,False,25369.594051,False
69,25238.8,Harold Hamm & family,Oil & gas,['Energy'],United States,M,-759196800000.0,Hamm,False,25238.8,False
63,26025.801,Eduardo Saverin,Facebook,['Technology'],Brazil,M,385344000000.0,Saverin,False,25216.90536,False
77,24570.086,Iris Fontbona & family,Mining,['Metals & Mining'],Chile,F,-852076800000.0,Fontbona,False,25164.62177,False
70,25005.233,Gennady Timchenko,"Oil, gas",['Energy'],Russia,M,-541036800000.0,Timchenko,False,25005.232729,False
72,24979.702,Andrey Melnichenko & family,"Fertilizers, coal",['Metals & Mining'],Russia,M,68860800000.0,Melnichenko,False,24979.70185,False
78,24558.033,Jack Ma,E-commerce,['Technology'],China,M,-167529600000.0,Ma,False,24961.638419,False
71,25005.178,Thomas Frist Jr & family,Hospitals,['Healthcare'],United States,M,-990576000000.0,Frist,False,24894.84662,False
73,24907.058,Michael Hartono,"Banking, tobacco ",['Manufacturing'],Indonesia,M,-954633600000.0,Hartono,False,24764.444214,False
76,24748.912,Lukas Walton,Walmart ,['Fashion & Retail'],United States,M,527472000000.0,Walton,False,24676.415087,False
79,24323.605,Daniel Gilbert,Quicken Loans,['Finance & Investments'],United States,M,-251078400000.0,Gilbert,False,24641.659756,False
74,24886.851,Dilip Shanghvi,Pharmaceuticals,['Healthcare'],India,M,-449798400000.0,Shanghvi,False,24556.423534,False
75,24761.224,Stefan Quandt,BMW,['Automotive'],Germany,M,-115171200000.0,Quandt,False,24508.095231,False
80,24214.716,Masayoshi Son,"telecom, investments",['Finance & Investments'],Japan,M,-391046400000.0,Son,False,24337.779503,False
81,23688.535,Susanne Klatten,"BMW, pharmaceuticals",['Automotive'],Germany,F,-242352000000.0,Klatten,False,23473.790008,False
83,23283.09,John Menard Jr,Home improvement stores,['Fashion & Retail'],United States,M,-944956800000.0,Menard,False,23283.06975,False
82,23670.394,He Xiangjian & family,Home appliances,['Manufacturing'],China,M,-864432000000.0,He,False,23274.981076,False
84,23150.856,Robin Zeng,Batteries,['Automotive'],Hong Kong,M,-31536000000.0,Zeng,False,22969.847673,False
85,22257.269,Vladimir Potanin,Metals,['Metals & Mining'],Russia,M,-283824000000.0,Potanin,False,22257.268967,False
86,22074.545,Diane Hendricks,Building supplies,['Construction & Engineering'],United States,F,-720662400000.0,Hendricks,False,22074.545,False
87,21698.47,Eyal Ofer,"Real estate, shipping",['Diversified'],Israel,M,-618019200000.0,Ofer,False,21716.652748,False
88,21043.433,Alexey Mordashov & family,"Steel, investments",['Metals & Mining'],Russia,M,-134611200000.0,Mordashov,False,21051.958332,False
89,21039.911,Eric Schmidt,Google,['Technology'],United States,M,-463363200000.0,Schmidt,False,20918.808177,False
92,20401.293,Takemitsu Takizaki,Sensors,['Manufacturing'],Japan,M,-775094400000.0,Takizaki,False,20909.025831,False
90,20595.0,David Tepper,Hedge funds,['Finance & Investments'],United States,M,-388368000000.0,Tepper,False,20595.0,False
91,20501.607,James Ratcliffe,Chemicals,['Manufacturing'],United Kingdom,M,-536457600000.0,Ratcliffe,False,20501.60722,False
94,19820.016,Steve Cohen,Hedge funds,['Finance & Investments'],United States,M,-427852800000.0,Cohen,False,19819.93963,False
93,19936.483,Kumar Birla,Commodities,['Diversified'],India,M,-80524800000.0,Birla,False,19654.851624,False
98,18277.713,Rupert Murdoch & family,"Newspapers, TV network",['Media & Entertainment'],United States,M,-1224806400000.0,Murdoch,False,18596.1314,False
96,18505.956,Vicky Safra & family,Banking,['Finance & Investments'],Brazil,F,-536457600000.0,Safra,False,18505.956127,False
97,18288.661,Andrew Forrest & family,Mining,['Metals & Mining'],Australia,M,-256262400000.0,Forrest,False,18124.750173,False
95,18809.09,Kushal Pal Singh,Real estate,['Real Estate'],India,M,-1211241600000.0,Singh,False,18121.109536,False
99,18012.128,Donald Bren,Real estate,['Real Estate'],United States,M,-1187913600000.0,Bren,False,18012.128172,False
100,17163.19,Rick Cohen & family,Warehouse automation,['Technology'],United States,M,-550281600000.0,Cohen,False,17067.2371,False
103,16743.091,Lakshmi Mittal,Steel,['Metals & Mining'],India,M,-616896000000.0,Mittal,False,16861.856485,False
104,16741.783,Stefan Persson,H&M,['Fashion & Retail'],Sweden,M,-702000000000.0,Persson,False,16844.485768,False
101,17112.363,Dustin Moskovitz,Facebook,['Technology'],United States,M,454032000000.0,Moskovitz,False,16670.703577,False
105,16607.806,Radhakishan Damani,"Retail, investments",['Fashion & Retail'],India,M,-473385600000.0,Damani,False,16633.63065,False
102,16935.237,Jorge Paulo Lemann & family,Beer,['Food & Beverage'],Brazil,M,-957830400000.0,Lemann,False,16442.036672,False
106,16428.793,Renata Kellnerova & family,"Finance, telecommunications",['Finance & Investments'],Czech Republic,F,-78796800000.0,Kellnerova,False,16429.231285,False
107,16228.503,Harry Triguboff,Real estate,['Real Estate'],Australia,M,-1162339200000.0,Triguboff,False,16228.502573,False
108,16000.0,Michael Platt,Hedge funds,['Finance & Investments'],United Kingdom,M,-56505600000.0,Platt,False,16000.0,False
109,15934.629,Jan Koum,WhatsApp,['Technology'],United States,M,193968000000.0,Koum,False,15864.683995,False
110,15799.882,Beate Heister,Supermarkets,['Fashion & Retail'],Germany,F,,Heister,False,15799.882405,False
110,15799.882,Karl Albrecht Jr. & family,Supermarkets,['Fashion & Retail'],Germany,M,,Albrecht Jr.,False,15799.882405,False
112,15707.5,Stanley Kroenke,"Sports, real estate",['Sports'],United States,M,-707788800000.0,Kroenke,False,15707.5,False
117,15349.779,Ravi Jaipuria,"Soft drinks, fast food",['Food & Beverage'],India,M,-476323200000.0,Jaipuria,False,15434.425941,False
113,15649.936,David Duffield,Business software,['Technology'],United States,M,-923961600000.0,Duffield,False,15398.036461,False
115,15372.353,Idan Ofer,Shipping,['Diversified'],Israel,M,-449712000000.0,Ofer,False,15374.81955,False
116,15359.28,Ray Dalio,Hedge funds,['Finance & Investments'],United States,M,-643766400000.0,Dalio,False,15359.28,False
118,15267.243,Aliko Dangote,"Cement, sugar",['Manufacturing'],Nigeria,M,-401673600000.0,Dangote,False,15296.308818,False
119,15182.495,David Green & family,Retail,['Fashion & Retail'],United States,M,-887846400000.0,Green,False,15182.495,False
114,15542.48,Li Xiting,medical devices,['Healthcare'],Singapore,M,-599616000000.0,Li,False,15135.059761,False
120,15095.314,Philip Anschutz,"Energy, sports, entertainment",['Finance & Investments'],United States,M,-947116800000.0,Anschutz,False,15095.313881,False
121,15036.0,Changpeng Zhao,Cryptocurrency exchange,['Finance & Investments'],Canada,M,223948800000.0,Zhao,False,15036.0,False
126,14633.974,Leonard Lauder,Estee Lauder,['Fashion & Retail'],United States,M,-1160956800000.0,Lauder,False,14878.11481,False
123,14948.391,Qin Yinglin,Pig breeding,['Food & Beverage'],China,M,-148608000000.0,Qin,False,14773.952018,False
122,14975.269,Eric Li,Automobiles,['Automotive'],China,M,-207878400000.0,Li,False,14764.812322,False
124,14761.314,Autry Stephens,Oil,['Energy'],United States,M,-1004140800000.0,Stephens,False,14761.313862,False
125,14688.984,Andrew Beal,"Banks, real estate",['Finance & Investments'],United States,M,-539308800000.0,Beal,False,14688.984204,False
127,14617.375,Andreas von Bechtolsheim & family,Google,['Technology'],Germany,M,-449884800000.0,von Bechtolsheim,False,14514.02525,False
128,14352.679,Alisher Usmanov,"Steel, telecom, investments",['Metals & Mining'],Russia,M,-514771200000.0,Usmanov,False,14363.181237,False
130,14229.299,George Kaiser,"Oil & gas, banking",['Energy'],United States,M,-865555200000.0,Kaiser,False,14259.234647,False
129,14266.171,Charlene de Carvalho-Heineken & family,Heineken,['Food & Beverage'],Netherlands,F,-489369600000.0,de Carvalho-Heineken,False,14244.469611,False
132,14060.0,John Fredriksen,Shipping,['Logistics'],Cyprus,M,-786240000000.0,Fredriksen,False,14090.299533,False
131,14164.114,Peter Woo,Real estate,['Real Estate'],Hong Kong,M,-736041600000.0,Woo,False,14037.630734,False
133,14018.313,Theo Albrecht Jr & family,"Aldi, Trader Joe's",['Fashion & Retail'],Germany,M,-599616000000.0,Albrecht,False,14018.313,False
138,13564.463,Jerry Jones,Dallas Cowboys,['Sports'],United States,M,-858988800000.0,Jones,False,13590.896,False
139,13564.112,Laurene Powell Jobs & family,"Apple, Disney",['Technology'],United States,F,-194227200000.0,Powell Jobs,False,13580.1726,False
137,13576.186,Uday Kotak,Banking,['Finance & Investments'],India,M,-340848000000.0,Kotak,False,13539.9473,False
135,13655.56,Wang Wei,Package delivery,['Service'],China,M,23587200000.0,Wang,False,13471.082854,False
142,13439.533,Ricardo Salinas Pliego & family,"Retail, media",['Fashion & Retail'],Mexico,M,-448243200000.0,Salinas Pliego,False,13422.976051,False
140,13555.483,Nicolas Puech,Hermes,['Fashion & Retail'],France,M,-849657600000.0,Puech,False,13422.502149,False
144,13260.885,Mike Cannon-Brookes,Software,['Technology'],Australia,M,311644800000.0,Cannon-Brookes,False,13364.830502,False
134,13847.939,Jay Chaudhry,Security software,['Technology'],United States,M,-326678400000.0,Chaudhry,False,13344.60971,False
136,13607.855,Wang Chuanfu,"Batteries, automobiles",['Automotive'],China,M,-122342400000.0,Wang,False,13341.664863,False
141,13546.198,Henry Samueli,Semiconductors,['Technology'],United States,M,-482284800000.0,Samueli,False,13293.017145,False
143,13315.983,Leon Black,Private equity,['Finance & Investments'],United States,M,-581385600000.0,Black,False,13258.80017,False
146,13030.737,Scott Farquhar,Software,['Technology'],Australia,M,314236800000.0,Farquhar,False,13140.165959,False
145,13112.315,Joseph Lau,Real estate,['Real Estate'],Hong Kong,M,-582249600000.0,Lau,False,13121.459534,False
148,12911.594,Mikhail Fridman,"Oil, banking, telecom",['Energy'],Russia,M,-179798400000.0,Fridman,False,12902.964716,False
149,12875.703,Goh Cheng Liang,Paints,['Manufacturing'],Singapore,M,-1341705600000.0,Goh,False,12875.70269,False
147,12914.537,David Cheriton,Google,['Technology'],Canada,M,-592099200000.0,Cheriton,False,12839.96105,False
150,12582.227,Giorgio Armani,Luxury goods,['Fashion & Retail'],Italy,M,-1119571200000.0,Armani,False,12564.689865,False
151,12432.756,George Roberts,Private equity,['Finance & Investments'],United States,M,-829958400000.0,Roberts,False,12304.06996,False
152,12256.591,John Tu,Computer hardware,['Technology'],United States,M,-895881600000.0,Tu,False,12256.591,False
153,12243.29,Dang Yanbao,Coal,['Metals & Mining'],China,M,97372800000.0,Dang,False,12229.537175,False
154,12229.075,David Sun,Computer hardware,['Technology'],United States,M,-575078400000.0,Sun,False,12229.075,False
156,12054.672,Lui Che Woo,Casinos/hotels,['Gambling & Casinos'],Hong Kong,M,-1286064000000.0,Lui,False,12079.662124,False
155,12074.365,Christy Walton,Walmart,['Fashion & Retail'],United States,F,-659404800000.0,Walton,False,12041.626404,False
157,12008.557,Dhanin Chearavanont,Diversified,['Diversified'],Thailand,M,-968976000000.0,Chearavanont,False,12020.432069,False
158,12003.479,Jeffery Hildebrand,Oil,['Energy'],United States,M,-341712000000.0,Hildebrand,False,12003.479,False
160,11895.523,Azim Premji,Software services,['Technology'],India,M,-771292800000.0,Premji,False,11913.348295,False
159,11930.25,John Doerr,Venture capital,['Technology'],United States,M,-584150400000.0,Doerr,False,11868.333318,False
161,11775.8,Israel Englander,Hedge funds,['Finance & Investments'],United States,M,-670723200000.0,Englander,False,11775.8,False
162,11756.624,Shahid Khan,Auto parts,['Automotive'],United States,M,-614044800000.0,Khan,False,11756.624283,False
163,11637.15,Edward Johnson IV,Fidelity,['Finance & Investments'],United States,M,-161568000000.0,Johnson,False,11637.149724,False
164,11474.0,Michael Rubin,Online retail,['Fashion & Retail'],United States,M,80524800000.0,Rubin,False,11474.0,False
166,11465.0,Pavel Durov,Messaging app,['Technology'],United Arab Emirates,M,466214400000.0,Durov,False,11465.0,False
169,11365.507,Bubba Cathy,Chick-fil-A,['Food & Beverage'],United States,M,-495331200000.0,Cathy,False,11365.507,False
169,11365.507,Dan Cathy,Chick-fil-A,['Food & Beverage'],United States,M,-531360000000.0,Cathy,False,11365.507,False
169,11365.507,Trudy Cathy White,Chick-fil-A,['Food & Beverage'],United States,F,-443145600000.0,Cathy White,False,11365.507,False
167,11439.248,Kwong Siu-hing,Real estate,['Real Estate'],Hong Kong,F,-1264896000000.0,Kwong,False,11320.584711,False
168,11391.206,Henry Kravis,Private equity,['Finance & Investments'],United States,M,-820108800000.0,Kravis,False,11274.0748,False
165,11469.152,Henry Nicholas III,Semiconductors,['Technology'],United States,M,-322963200000.0,Nicholas,False,11257.8878,False
176,11122.147,Donald Newhouse,Media,['Media & Entertainment'],United States,M,-1275177600000.0,Newhouse,False,11215.790517,False
173,11200.0,Sky Xu,E-commerce,['Fashion & Retail'],China,M,441763200000.0,Xu,False,11200.0,False
174,11145.9,Robert Kraft,"Manufacturing, New England Patriots",['Sports'],United States,M,-901756800000.0,Kraft,False,11145.9,False
175,11124.603,Barry Lam,Electronics,['Technology'],Taiwan,M,-652924800000.0,Lam,False,11124.602633,False
177,11105.347,Jiang Rensheng & family,Vaccines,['Healthcare'],China,M,-512265600000.0,Jiang,False,11025.727367,False
178,11071.13,Hasso Plattner & family,Software,['Technology'],Germany,M,-818812800000.0,Plattner,False,11004.30424,False
180,11030.087,Johann Rupert & family,Luxury goods,['Fashion & Retail'],South Africa,M,-618105600000.0,Rupert,False,11002.553266,False
172,11234.312,Marcel Herrmann Telles & family,Beer,['Food & Beverage'],Brazil,M,-631152000000.0,Telles,False,10968.163879,False
181,10938.859,Mikhail Prokhorov,Investments,['Finance & Investments'],Russia,M,-147225600000.0,Prokhorov,False,10938.858853,False
183,10874.129,Eric Smidt,Hardware stores,['Fashion & Retail'],United States,M,-315619200000.0,Smidt,False,10874.129,False
179,11064.016,Lu Xiangyang,"Automobiles, batteries",['Automotive'],China,M,-221270400000.0,Lu,False,10865.010255,False
184,10807.832,Charoen Sirivadhanabhakdi,"Alcohol, real estate",['Food & Beverage'],Thailand,M,-810000000000.0,Sirivadhanabhakdi,False,10805.752645,False
190,10580.654,Lei Jun,Smartphones,['Technology'],China,M,-1382400000.0,Lei,False,10766.967065,False
182,10921.42,Jay Y. Lee,Samsung,['Technology'],South Korea,M,-48124800000.0,Lee,False,10700.96332,False
186,10684.876,Suleiman Kerimov & family,Gold,['Finance & Investments'],Russia,M,-120182400000.0,Kerimov & family,False,10684.875593,False
185,10692.295,Huang Shilin,Batteries,['Automotive'],China,M,-94694400000.0,Huang,False,10610.003327,False
187,10666.297,Melker Schorling & family,Investments,['Finance & Investments'],Sweden,M,-714268800000.0,Schorling,False,10604.931296,False
189,10593.957,Melinda French Gates,Microsoft,['Technology'],United States,F,-169776000000.0,French Gates,False,10581.086236,False
191,10465.882,Viktor Rashnikov,Steel,['Manufacturing'],Russia,M,-669600000000.0,Rashnikov,False,10465.882239,False
188,10606.413,Wei Jianjun & family,Automobiles,['Automotive'],China,M,-184204800000.0,Wei,False,10441.743072,False
192,10387.391,Carl Cook,Medical devices,['Healthcare'],United States,M,-232588800000.0,Cook,False,10387.391495,False
193,10299.523,Sarath Ratanavadi,energy,['Energy'],Thailand,M,-141177600000.0,Ratanavadi,False,10238.957807,False
195,10204.275,Judy Love & family,Gas stations,['Fashion & Retail'],United States,F,-1026950400000.0,Love,False,10204.275,False
196,10174.346,Anthony Pratt,Manufacturing,['Manufacturing'],Australia,M,-306892800000.0,Pratt,False,10174.345561,False
194,10205.545,Robert Kuok,"Palm oil, shipping, property",['Diversified'],Malaysia,M,-1459209600000.0,Kuok,False,10160.50335,False
200,10082.896,Stephen Ross,Real estate,['Real Estate'],United States,M,-935539200000.0,Ross,False,10082.895646,False
197,10138.51,Marc Benioff,Business software,['Technology'],United States,M,-166233600000.0,Benioff,False,10073.019312,False
198,10126.687,Antony Ressler,Finance,['Finance & Investments'],United States,M,-290995200000.0,Ressler,False,10019.922011,False
207,9932.878,Georg Schaeffler,Auto parts,['Automotive'],Germany,M,-164160000000.0,Schaeffler,False,10011.626182,False
205,9954.672,Liu Yongxing,Diversified,['Service'],China,M,-681177600000.0,Liu,False,9954.672488,False
206,9949.425,James Goodnight,Software,['Technology'],United States,M,-851644800000.0,Goodnight,False,9949.425,False
212,9837.796,Vincent Bolloré & family,Investments,['Finance & Investments'],France,M,-560217600000.0,Bolloré,False,9942.618041,False
204,9962.136,Zhang Zhidong,Internet media,['Technology'],China,M,63072000000.0,Zhang,False,9936.776461,False
208,9897.647,John Malone,Cable television,['Media & Entertainment'],United States,M,-909532800000.0,Malone,False,9914.96221,False
199,10085.955,Brian Chesky,Airbnb,['Technology'],United States,M,367891200000.0,Chesky,False,9906.37526,False
203,9967.079,Gong Hongjia & family,Video surveillance ,['Finance & Investments'],Hong Kong,M,-157766400000.0,Gong,False,9892.78792,False
209,9878.757,Quek Leng Chan,"Banking, property",['Diversified'],Malaysia,M,-895881600000.0,Quek,False,9874.54236,False
202,10005.853,Bernard Marcus,Home Depot,['Fashion & Retail'],United States,M,-1282521600000.0,Marcus,False,9850.125,False
201,10025.766,Mangal Prabhat Lodha,Real estate,['Real Estate'],India,M,-444528000000.0,Lodha,False,9848.279974,False
211,9846.71,Viatcheslav Kantor,"Fertilizer, real estate",['Manufacturing'],Russia,M,-514857600000.0,Kantor,False,9846.710062,False
213,9826.544,Jacques Saadé Jr,Shipping,['Logistics'],France,M,50630400000.0,Saadé,False,9826.544,False
213,9826.544,Rodolphe Saadé,Shipping,['Logistics'],France,M,5270400000.0,Saadé,False,9826.544,False
213,9826.544,Tanya Saadé Zeenny,Shipping,['Logistics'],France,F,-60480000000.0,Saadé Zeenny,False,9826.544,False
216,9813.803,Manuel Villar,Real estate,['Real Estate'],Philippines,M,-632793600000.0,Villar,False,9810.672326,False
217,9791.584,Pamela Mars,"Candy, pet food",['Food & Beverage'],United States,F,-297216000000.0,Mars,False,9791.584,False
217,9791.584,Marijke Mars,"Candy, pet food",['Food & Beverage'],United States,F,-171331200000.0,Mars,False,9791.584,False
217,9791.584,Victoria Mars,"Candy, pet food",['Food & Beverage'],United States,F,-411696000000.0,Mars,False,9791.584,False
217,9791.584,Valerie Mars,"Candy, pet food",['Food & Beverage'],United States,F,-344995200000.0,Mars,False,9791.584,False
227,9718.368,Thomas Struengmann & family,Pharmaceuticals,['Healthcare'],Germany,M,-627177600000.0,Struengmann,False,9788.934,False
227,9718.368,Andreas Struengmann & family,Pharmaceuticals,['Healthcare'],Germany,M,-627177600000.0,Struengmann,False,9788.934,False
210,9865.708,Li Shuirong & family,Petrochemicals,['Manufacturing'],China,M,-426124800000.0,Li,False,9781.019913,False
221,9777.146,Leonid Fedun,Oil,['Energy'],Russia,M,-433641600000.0,Fedun,False,9777.146392,False
222,9774.648,Elizabeth Johnson,Fidelity,['Finance & Investments'],United States,F,-210038400000.0,Johnson,False,9774.64792,False
223,9763.535,Antonia Ax:son Johnson & family,Diversified,['Diversified'],Sweden,F,-830649600000.0,Ax:son Johnson,False,9762.102195,False
224,9745.38,Friedhelm Loh,Manufacturing,['Manufacturing'],Germany,M,-737856000000.0,Loh,False,9745.380318,False
226,9723.914,Jim Pattison,Diversified,['Diversified'],Canada,M,-1301788800000.0,Pattison,False,9704.395294,False
230,9639.271,James Dyson,Vacuums,['Manufacturing'],United Kingdom,M,-715392000000.0,Dyson,False,9639.270533,False
229,9648.815,Ann Walton Kroenke,Walmart,['Fashion & Retail'],United States,F,-663897600000.0,Kroenke,False,9632.776625,False
231,9637.315,Nancy Walton Laurie,Walmart,['Fashion & Retail'],United States,F,-588038400000.0,Laurie,False,9615.34162,False
